doi,title,abstract,journal,year,authors,source
10.1234/sample.001,The Effect of Minimum Wage on Employment,This paper examines the causal impact of minimum wage increases on employment levels using a difference-in-differences approach. We find modest negative effects on teen employment.,American Economic Review,2023,"[""John Smith"", ""Jane Doe""]",sample
10.1234/sample.002,Monetary Policy and Asset Prices,We develop a DSGE model to analyze how monetary policy shocks affect asset prices. Our results suggest that interest rate changes have significant effects on equity valuations.,Quarterly Journal of Economics,2023,"[""Alice Johnson""]",sample
10.1234/sample.003,Trade Liberalization and Income Inequality,This study investigates the relationship between trade openness and income distribution using panel data from 50 countries over 30 years. We find heterogeneous effects across skill groups.,Econometrica,2022,"[""Bob Williams"", ""Carol Brown"", ""David Lee""]",sample
10.1234/sample.004,Behavioral Responses to Carbon Taxation,We estimate the elasticity of gasoline demand with respect to carbon taxes using Swedish administrative data. Our estimates suggest a price elasticity of approximately -0.3.,Review of Economic Studies,2024,"[""Eva Martinez""]",sample
10.1234/sample.005,Machine Learning for Causal Inference,This paper surveys recent advances in using machine learning methods for causal inference in economics. We discuss LASSO for variable selection and random forests for heterogeneous treatment effects.,Journal of Political Economy,2023,"[""Frank Chen"", ""Grace Kim""]",sample
10.1234/sample.006,The Long-Run Effects of Education Quality,Using historical school construction data we estimate the returns to education quality. A one standard deviation improvement in teacher quality increases lifetime earnings by 8 percent.,American Economic Review,2022,"[""Henry Wilson""]",sample
10.1234/sample.007,Housing Markets and Spatial Equilibrium,We develop a quantitative spatial model of housing markets with heterogeneous agents. The model explains 70 percent of the variation in house prices across US metropolitan areas.,Quarterly Journal of Economics,2024,"[""Isabel Garcia"", ""James Taylor""]",sample
10.1234/sample.008,Firm Dynamics and Aggregate Productivity,This paper documents facts about firm entry exit and growth using Census microdata. We find that declining business dynamism accounts for half of the productivity slowdown since 2000.,Econometrica,2023,"[""Kevin Moore"", ""Laura White""]",sample
10.1234/sample.009,Optimal Unemployment Insurance Design,We characterize the optimal unemployment insurance policy in a model with moral hazard and liquidity constraints. The optimal replacement rate is around 50 percent.,Review of Economic Studies,2022,"[""Michael Davis""]",sample
10.1234/sample.010,Network Effects in Technology Adoption,Using data on social networks and smartphone adoption we estimate peer effects in technology diffusion. A 10 percentage point increase in friend adoption raises own adoption by 3 points.,Journal of Political Economy,2024,"[""Nancy Thompson"", ""Oscar Rodriguez"", ""Patricia Clark""]",sample
